"source_file","contract_number","contract_id","contract_subject","contract_domain","supplier_name","supplier_id","item_id","item_type","item_description","item_sku","quantity","unit_price","total_price","has_discount","discount_type","discount_value","original_price","discounted_price","is_bundle","bundle_components","is_multi_year","duration_years","total_price_multi_year","annual_rate","classification_label","class_l1","class_l2","class_l3","class_confidence_level","class_final_score","class_method","class_timestamp","class_macro_type"
"01. Batch 1\7010148320\acq_all_oda\18.PH.2587.03_TIM-BKI_ServiziAppADVA.pdf","7010148320","701014832001","Fornitura in opera e relativi servizi ADVA c/o cliente Banca D'Italia","networking","LUTECH S.P.A.","228961212086989","7010148320010001","SERVICE","Servizi Professionali Lutech","","0.0","0.0","48712.0","False","","0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.7568909416198731","intelligent_multi_step","2025-10-09T01:34:34.255132","SERVICE"
"01. Batch 1\7010148320\acq_all_oda\18.PH.2587.03_TIM-BKI_ServiziAppADVA.pdf","7010148320","701014832001","Fornitura in opera e relativi servizi ADVA c/o cliente Banca D'Italia","networking","LUTECH S.P.A.","228961212086989","7010148320010002","SERVICE","Servizi Gestiti Lutech per 6 anni","","0.0","0.0","91288.0","False","","0","0.0","0.0","False","","True","6","91288.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","HIGH","0.7739189052581786","intelligent_multi_step","2025-10-09T01:34:38.002198","SERVICE"
"01. Batch 1\7010148320\acq_all_oda\18.PH.2587.03_TIM-BKI_ServiziAppADVA.pdf","7010148320","701014832001","Fornitura in opera e relativi servizi ADVA c/o cliente Banca D'Italia","networking","LUTECH S.P.A.","228961212086989","7010148320010003","SERVICE","Servizio di Garanzia Estesa per 6 anni","","0.0","0.0","187220.1","False","","0","0.0","0.0","False","","True","6","187220.1","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.5832782878875733","intelligent_multi_step","2025-10-09T01:34:40.943323","SERVICE"
"01. Batch 1\7010148320\acq_all_oda\18.PH.2587.03_TIM-BKI_ServiziAppADVA.pdf","7010148320","701014832001","Fornitura in opera e relativi servizi ADVA c/o cliente Banca D'Italia","networking","LUTECH S.P.A.","228961212086989","7010148320010004","HARDWARE","Fornitura hardware e software ADVA","","0.0","0.0","672780.35","False","","0","0.0","0.0","False","","False","0","0.0","0.0","HW/NETWORKING/OPTICAL","HW","NETWORKING","OPTICAL","HIGH","0.9231290636062622","intelligent_multi_step","2025-10-09T01:34:44.179306","HARDWARE"
"01. Batch 1\7010148320\acq_all_oda\Stampa Ordine N.7010148320.pdf","7010148320","701014832002","Fornitura di Servizi Professionali e Servizi Gestiti su apparati Adva c/o il Cliente Finale ""Banca d'Italia S.p.A.""","networking","LUTECH S.P.A.","228961212086989","7010148320020001","SERVICE","Servizi Gestiti - Manutenzione on site su apparati ADVA 1° anno (CONTRATTO 4CBNET), identificato come CNA.","","12.0","1267.88","15214.56","False","","0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.7101521718502044","intelligent_multi_step","2025-10-09T01:34:47.365495","SERVICE"
"01. Batch 1\7010154936\acq_all_oda\7010154936 0000289882 BV TECH SPA 20190723_v1.pdf","7010154936","701015493601","Ordine di Acquisto per Servizi ICT e Manutenzione Software","IT","BV TECH S.P.A.","267282143798887","7010154936010001","SERVICE","Servizi-MARZOTTO: Manutenzione, aggiornamenti SW ed assistenza del vendor per sistema di monitoraggio NetEye Marzotto. Durata complessiva: 6 anni dal 01/03/2019 al 30/06/2025. Periodo di riferimento: 01/01/2025 - 30/06/2025.","","1.0","3600.0","3600.0","False","","0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.7122700009346008","intelligent_multi_step","2025-10-09T01:29:15.991118","SERVICE"
"01. Batch 1\7010154936\acq_all_oda\7010154936 0000289882 BV TECH SPA 20190723_v1.pdf","7010154936","701015493601","Ordine di Acquisto per Servizi ICT e Manutenzione Software","IT","BV TECH S.P.A.","267282143798887","7010154936010002","SERVICE","Servizi-MARZOTTO. Codice Esterno: VAS-080719-94. Fornitore: BV TECH S.P.A. Cliente: MARZOTTO SPA. Destinazione: LG. SANTA MARGHERITA 1 - VALDAGNO, VI. Riferimento offerta cbv190276.00 del 19/05/2019 per gestione xen server Marzotto dal 01/01/2019 al 30/06/2019.","","1.0","4000.0","4000.0","False","","0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.6678452787399292","intelligent_multi_step","2025-10-09T01:29:19.854263","SERVICE"
"01. Batch 1\7010154936\acq_all_oda\7010154936 0000289882 BV TECH SPA 20190723_v1.pdf","7010154936","701015493601","Ordine di Acquisto per Servizi ICT e Manutenzione Software","IT","BV TECH S.P.A.","267282143798887","7010154936010003","SERVICE","Servizi-MARZOTTO: Manutenzione, aggiornamenti SW ed assistenza del vendor per sistema di monitoraggio NetEye Marzotto. Durata complessiva: 6 anni dal 01/03/2019 al 30/06/2025. Periodo di riferimento: 01/03/2019 - 31/12/2019.","","1.0","6000.0","6000.0","False","","0","0.0","0.0","False","","False","0","0.0","0.0","","","","","","","","",""
"01. Batch 1\7010154936\acq_all_oda\7010154936 0000289882 BV TECH SPA 20190723_v1.pdf","7010154936","701015493601","Ordine di Acquisto per Servizi ICT e Manutenzione Software","IT","BV TECH S.P.A.","267282143798887","7010154936010004","SERVICE","Servizi-MARZOTTO: Manutenzione, aggiornamenti SW ed assistenza del vendor per sistema di monitoraggio NetEye Marzotto. Durata complessiva: 6 anni dal 01/03/2019 al 30/06/2025. Periodo di riferimento: 01/01/2020 - 31/12/2020.","","1.0","7200.0","7200.0","False","","0","0.0","0.0","False","","False","0","0.0","0.0","","","","","","","","",""
"01. Batch 1\7010154936\acq_all_oda\7010154936 0000289882 BV TECH SPA 20190723_v1.pdf","7010154936","701015493601","Ordine di Acquisto per Servizi ICT e Manutenzione Software","IT","BV TECH S.P.A.","267282143798887","7010154936010005","SERVICE","Servizi-MARZOTTO. Codice Esterno: VAS-080719-94. Fornitore: BV TECH S.P.A. Cliente: MARZOTTO SPA. Destinazione: LG. SANTA MARGHERITA 1 - VALDAGNO, VI. Riferimento offerta cbv190210.00 del 09/04/2019 per rinnovo e integrazione ordine 7010149555 dal 01/03/2019 al 30/06/2019 per Marzotto.","","1.0","91400.0","91400.0","False","","0","0.0","0.0","False","","False","0","0.0","0.0","SERVIZIO/PROFESSIONAL_SERVICES/SUPPORT","SERVIZIO","PROFESSIONAL_SERVICES","SUPPORT","MEDIUM","0.6950462002754211","intelligent_multi_step","2025-10-09T01:29:24.073885","SERVICE"
