"id","contract_id","offer_id","version","supplier","supplier_id","supplier_specialization","client","contract_subject","contract_domain","terminology_mapping","expected_patterns","payment_terms","penalties","ending_clauses","start_date","end_date","total_amount","number_of_items","hw_items","sw_items","service_items"
"contract_7010148320_1","701014832001","offer_18_ph_2587_03_tim-bki_serviziappadva_v1","1","LUTECH S.P.A.","228961212086989","networking","Telecom Italia S.p.A.","Fornitura in opera e relativi servizi ADVA c/o cliente Banca D'Italia","networking","{""ADVA"": ""Prodotti e soluzioni per reti ottiche e trasporto dati"", ""Servizi Professionali Lutech"": ""Servizi di consulenza e implementazione tecnica forniti da Lutech"", ""Servizi Gestiti Lutech"": ""Gestione operativa e monitoraggio continuo delle soluzioni fornite da Lutech""}","switch + modules|firewall + licenses","Per le forniture ADVA (""860.000,00 da ECONOCOM INTERNATIONAL ITALIA SPA): ordine totale entro il 2018; fatturazione e pagamento del 20% entro il 2018; restante 80% fatturazione alla consegna e pagamenti mediante bonifico bancario con valuta fissa per il beneficiario a 60 giorni d.f. (previo collaudo). Per i servizi (""140.000,00 da TIM): ordine totale entro il 2018; fatturazione dopo EM; pagamenti mediante bonifico bancario con valuta fissa per il beneficiario a 120 giorni d.f.f.m.","In caso di ritardato pagamento LUTECH avrà diritto di addebitare al Cliente gli interessi passivi come indicati dal D.Lgs 231/02 e successive modifiche ed integrazioni.","Foro Competente: Foro di Milano. Trattamento dati personali: Le parti sono autorizzate a mantenere e trattare i dati personali secondo quanto previsto dal D.Lgs. 196/03, garantendo le forme di sicurezza e riservatezza previste dalla vigente normativa. Validità dell'offerta: 30 giorni dalla data di emissione (14 dicembre 2018).","2018-12-14T00:00:00.000Z","2018-12-14T00:00:00.000Z","1000000.45","4","1","0","3"
"contract_7010148320_2","701014832002","offer_stampa_ordine_n_7010148320_v2","2","LUTECH S.P.A.","228961212086989","networking","Telecom Italia S.p.A.","Fornitura di Servizi Professionali e Servizi Gestiti su apparati Adva c/o il Cliente Finale ""Banca d'Italia S.p.A.""","networking","{""ADVA"": ""Produttore di soluzioni di networking ottico e trasporto dati"", ""Rent to Rent"": ""Modalit\u00e0 di noleggio di apparati"", ""CNA"": ""Contratto di manutenzione associato agli apparati ADVA"", ""4CBNET"": ""Progetto o contratto specifico relativo alla rete della Banca d'Italia""}","switch + modules|firewall + licenses","Condizioni di pagamento: Z004 120gg. Fine mese data fattura. Fatturazione UNICA SOLUZIONE per Servizi Professionali/Start-up. Fatturazione TRIMESTRALE POSTICIPATO per Servizi Gestiti (manutenzione). Le fatture saranno emesse in regime di scissione dei pagamenti (Split Payment), al netto dell'IVA che verrà versata da TIM direttamente all'Erario. Il pagamento avverrà a mezzo bonifico bancario, considerando la data di emissione fattura convenzionalmente fissata all'ultimo giorno del mese.","PENALI PER RISPETTO SLA: Telecom si riserva la facoltà di applicare le penali previste nel Capitolato Speciale di Appalto in caso di mancato rispetto degli SLA. Telecom può addebitare al fornitore le penali applicate a Telecom dal Cliente finale per atti o omissioni imputabili al fornitore. PENALI PER RITARDATA CONSEGNA PRODOTTI O CONSEGNA IN OPERA: Penale dell'1% del valore della fornitura per ogni giorno di ritardo, fino a un massimo di 10 giorni. Superati i 10 giorni, Telecom può risolvere il contratto. La penale massima è del 20% dell'importo della fornitura o le maggiori penali previste nel contratto tra Telecom e il Cliente finale. Penale di "" 500,00 per ogni violazione accertata delle disposizioni della procedura di ""Accesso ai Siti Telecom Italia"".","RESPONSABILITÀ PER DANNI E MANLEVA; AUTORIZZAZIONE: Il BO si risolve se l'autorizzazione viene negata o revocata; CLAUSOLA SOSPENSIVA: L'efficacia del BO è soggetta ad autorizzazione; EFFICACIA E DURATA DEL CONTRATTO: Il termine del BO coincide con il contratto principale, senza proroghe o rinnovi taciti; CLAUSOLA DI RISERVATEZZA: Tutte le informazioni sono riservate, anche post-contratto, con risarcimento danni e risoluzione in caso di violazione; DIVIETO DI SUBAPPALTO: Subappalto (anche parziale) delle attività oggetto della fornitura è vietato; CLAUSOLA DI RECESSO: Telecom Italia può recedere in qualsiasi momento se il contratto tra Telecom e il suo cliente viene risolto anticipatamente, senza richiesta di risarcimento; Diritto di recesso per Telecom per specifiche condizioni: cessione/affitto d'azienda, mutamento assetto societario di controllo del Fornitore, rinvio a giudizio o condanna di un rappresentante per delitti relativi alla gestione d'impresa, assoggettamento del Fornitore a liquidazione o procedure concorsuali, recesso o risoluzione anticipata del contratto tra la Società e il cliente della Società stessa, internalizzazione delle attività; Risoluzione di diritto in caso di inadempienze gravi (es. scheda dati di sicurezza, ritardo consegna, personale/contributi, subappalto, divieto di cessione crediti, ispezioni, codice etico, certificazione Fornitore, controllo esportazioni/importazioni, trattamento dati personali, riservatezza).","2019-02-20T00:00:00Z","2025-07-31T00:00:00Z","139999.36","1","0","0","1"
"contract_7010154936_1","701015493601","offer_7010154936_0000289882_bv_tech_spa_20190723_v1_v1","1","BV TECH S.P.A.","267282143798887","IT","Telecom Italia S.p.A.","Ordine di Acquisto per Servizi ICT e Manutenzione Software","IT","{""NetEye"": ""Piattaforma di monitoraggio IT per infrastrutture e applicazioni"", ""Xen Server"": ""Piattaforma di virtualizzazione basata su hypervisor Xen"", ""manutenzione software"": ""Attivit\u00e0 di aggiornamento, correzione e miglioramento del software esistente""}","","Payment in 120 days end of month from invoice date, via bank transfer. Invoices to be issued under split payment regime, except for professional services subject to withholding tax. Telecom Italia will pay net of VAT, remitting VAT directly to the Treasury. Invoices must state 'scissione dei pagamenti'.","Penalties for SLA violations as per Capitolato d'Appalto. Penalties may be charged to the supplier if applied to Telecom by the end customer due to supplier's actions/omissions. For delayed delivery/installation, 1% of goods value per day of delay, up to 10 consecutive days, maximum 20% of supply amount. After 10 days, Telecom may resolve contract. Penalty of ""500.00 per violation for non-compliance with 'Accesso ai Siti Telecom Italia' procedure by supplier personnel.","Responsibility for damages and indemnity by supplier. Confidentiality clause: all information to be treated as strictly confidential; breach may lead to contract resolution. Right of withdrawal for Telecom if contract with end customer is terminated or resolved early. Telecom can withdraw if supplier undergoes business changes, legal issues, or insolvency. Telecom can withdraw with 60 days notice for customer contract termination or internalisation of activities. Jurisdiction: Foro di Roma.","2019-07-22T00:00:00Z","2025-06-30T00:00:00Z","141000.0","5","0","0","5"
"contract_7010155245_1","701015524501","offer_7010155245_0000283750_maticmind_spa_20190730_v1_v1","1","MATICMIND SPA","250387406080783","networking","Telecom Italia S.p.A.","Servizi di manutenzione TCI Cisco e Imagicle per le sedi del cliente Marzotto SPA","networking","{""TCI"": ""Tecnologie di Comunicazione e Informazione"", ""Cisco Imagicle"": ""Soluzioni software per comunicazioni unificate integrate con Cisco"", ""manutenzione"": ""Servizi di supporto e riparazione per infrastrutture di rete"", ""supporto specialistico"": ""Assistenza tecnica avanzata su specifiche tecnologie""}","switch + modules|firewall + licenses","Pagamento a 120 giorni fine mese data fattura; fatture emesse in regime di scissione dei pagamenti (Split Payment) e con cadenza trimestrale posticipata. Interessi di mora applicabili come da D.Lgs. 231/02, pari al saggio BCE aumentato di un punto percentuale.","Penali per mancato rispetto degli SLA e per ritardata consegna prodotti o consegna in opera. Penale dell'1% del valore per ogni giorno di ritardo, fino a un massimo di 10 giorni. Superata la soglia, risoluzione del contratto e risarcimento danni. Massima applicazione del 20% dell'importo della fornitura o maggiori penali previste nel contratto con il Cliente finale.","Clausola di riservatezza, con obbligo di trattamento riservato delle informazioni e facoltà di Telecom di risolvere il contratto in caso di violazione. Clausola di recesso per Telecom in caso di recesso o risoluzione anticipata del contratto con il Cliente finale, o per internalizzazione delle attività. Responsabilità per danni e manleva a carico del fornitore per obbligazioni e responsabilità inerenti all'organizzazione e svolgimento delle attività/forniture e erogazione dei servizi, inclusi danni a Telecom o terzi e violazioni di diritti di proprietà industriale e intellettuale. Divieto di subappalto totale o parziale salvo autorizzazione. Divieto di cessione dei crediti e di conferimento di mandati all'incasso.","2020-07-01T00:00:00Z","2025-06-30T00:00:00Z","97554.16","2","0","0","2"
"contract_7010155245_2","701015524502","offer_7010155245_0000283750_maticmind_spa_20211007_vc1_v2","2","MATICMIND SPA","250387406080783","networking","MARZOTTO SPA","Contratto di fornitura di servizi di manutenzione TCI Cisco e servizi Imagicle per Marzotto Spa","networking","{""TCI Cisco"": ""Tecnologie di Comunicazione e Informazione basate su soluzioni Cisco"", ""Imagicle"": ""Suite di applicazioni per la comunicazione unificata integrata con Cisco"", ""manutenzione 1\u00b0 anno"": ""Servizio di manutenzione per il primo anno successivo al periodo di garanzia"", ""manutenzione 2\u00b0 anno"": ""Servizio di manutenzione per il secondo anno successivo al periodo di garanzia"", ""manutenzione 3\u00b0 anno"": ""Servizio di manutenzione per il terzo anno successivo al periodo di garanzia"", ""manutenzione 4\u00b0 anno"": ""Servizio di manutenzione per il quarto anno successivo al periodo di garanzia"", ""manutenzione 5\u00b0 anno"": ""Servizio di manutenzione per il quinto anno successivo al periodo di garanzia"", ""servizi specialistici Cisco Imagicle"": ""Supporto tecnico avanzato per soluzioni Imagicle integrate con Cisco""}","switch + modules|firewall + licenses","Il pagamento delle fatture avverrà, a mezzo bonifico bancario, a 120 (CENTOVENTI) giorni dalla data convenzionale di emissione fattura fissata all'ultimo giorno del mese. Le fatture relative al presente BO saranno emesse con cadenza trimestrale posticipata. Le fatture elettroniche devono essere intestate a Telecom Italia S.p.A, essere trasmesse tramite il Sistema di Interscambio e riportare il Codice Destinatario 3BT1S9Q. Le fatture non conformi alla vigente normativa IVA dovranno essere integrate dalla Società, entro 15 (quindici) giorni solari dalla segnalazione. Le fatture devono pervenire a Telecom almeno 60 (sessanta) giorni solari prima della data di scadenza altrimenti saranno liquidate alla fine del mese successivo. Saranno applicabili interessi moratori pari al saggio d'interesse su base annua stabilito dalla BCE aumentato di un punto percentuale.","PENALI PER RISPETTO SLA: Il fornitore si obbliga ad eseguire il Servizio oggetto del BO nel rispetto degli SLA indicati nel Capitolato d'Appalto. In caso di mancato rispetto degli SLA, Telecom si riserva la facoltà di applicare le penali previste nel medesimo Capitolato Speciale di Appalto e il diritto addebitare al fornitore le penali che dovessero essere applicate a Telecom dal Cliente finale. L'applicazione delle penali non preclude il diritto di Telecom al risarcimento del danno ulteriore. PENALI PER RITARDATA CONSEGNA PRODOTTI O CONSEGNA IN OPERA: In caso di inadempimento agli obblighi di consegna/installazione, Telecom potrà applicare penali dell'1% del valore del presente BO per ogni giorno di ritardo per un massimo di 10 giorni. Superata detta soglia, Telecom avrà la facoltà di risolvere il presente contratto ai sensi dell'art. 1456 c.c., fatto salvo il risarcimento dei danni. La penale sarà applicabile per un massimo del 20% dell'importo della fornitura, o per le eventuali maggiori penali previste nel contratto tra Telecom e il Cliente finale.","Clausole accessorie: CONDIZIONI GENERALI DI FORNITURA, Accettazione B.O., Riferimenti Societari - TIM S.p.A., SUBAPPALTO: il presente contratto non verrà ceduto a terzi, totalmente o parzialmente, salvo specifica autorizzazione di Telecom. Cessione del credito: divieto assoluto di cedere i crediti verso Telecom Italia. RESPONSABILITÀ PER DANNI E MANLEVA: il fornitore si assume ogni obbligazione e responsabilità inerente all'organizzazione e allo svolgimento delle attività/forniture e all'erogazione dei servizi, risarcimento di tutti i danni che Telecom o terzi abbiano subito. Il fornitore si impegna a manlevare e tenere indenne Telecom. CLAUSOLA DI RISERVATEZZA: Qualsiasi notizia, documento, informazione concernente direttamente o indirettamente il servizio svolto o l'organizzazione e le attività di Telecom dovrà essere trattata in modo assolutamente riservato. In caso di violazione, Telecom potrà rivalersi sul fornitore per il risarcimento dei danni e risolvere il contratto. CLAUSOLA DI RECESSO: Telecom Italia si riserva la facoltà di recedere, in qualsiasi momento, dal presente Buono D'Ordine, qualora si verifichi il recesso o la risoluzione anticipata del contratto tra Telecom ed il Cliente di Telecom stessa. Null'altro potrà essere richiesto a titolo di risarcimento.","2020-07-01T00:00:00Z","2025-06-30T00:00:00Z","77754.16","2","0","0","2"
"contract_7010158951_1","701015895101","offer_7010158951_0000345986_beta_80_group_srl_20191121_v1_v1","1","BETA 80 GROUP S.R.L.","70932316709617","IT","Telecom Italia S.p.A.","Ordine di servizi professionali N° 7010158951 del 21.11.2019 per assistenza sistemistica a consumo.","IT","{""assistenza sistemistica"": ""Supporto tecnico per la gestione e manutenzione di sistemi informatici"", ""giornate a consumo"": ""Unit\u00e0 di misura per il calcolo dei servizi basata su giornate lavorative"", ""subappalto"": ""Delegazione di parte del lavoro a un'altra azienda""}","","Z004 120gg. Fine mese data fattura. Fatture emesse in regime di scissione dei pagamenti (Split Payment), pagate al fornitore al netto dell'IVA. Interessi moratori applicabili secondo D.Lgs. n. 231/02. Fattura/nota debito per interessi saldata entro 60 giorni dalla data di emissione fine mese.","Penale dell'1% del valore dei beni per ogni giorno di ritardo, superati 10 giorni solari la Società ha diritto di risolvere l'Ordine (per forniture di beni). Penale di "" 500,00 per ogni violazione accertata delle disposizioni di accesso ai Siti Telecom Italia da parte del personale del Fornitore (per servizi).","Recesso (Sez. 3, punto 7) facoltà per la Società in casi specifici (cambio assetto societario fornitore, liquidazione, internalizzazione servizi, ecc.) con preavviso. Clausole di manleva per proprietà intellettuale (Sez. 1, punto 2; Sez. 2, punto 5) e per danni generali (Sez. 3, punto 6). Obbligo di riservatezza (Sez. 3, punto 14). Foro competente esclusivo: Roma (Sez. 3, punto 17). Possibilità di risoluzione di diritto per inadempimenti specifici (Sez. 3, punto 16). Esclusione cause di forza maggiore in caso di ritardo.","2019-11-15T00:00:00Z","2025-12-31T00:00:00Z","472500.0","1","0","0","1"
"contract_7010158951_2","701015895102","offer_offerta_rda2100794130_v2","2","BETA 80 GROUP S.R.L.","70932316709617","IT","TELECOM ITALIA SPA","Offerta per G006/18 - Servizi a consumo (ns. Rif. OFF#2018-1271 Rev. 0)","IT","{""Specialista della Soluzione"": ""Esperto tecnico con competenze specifiche su un prodotto o tecnologia"", ""BMC Control-M"": ""Software per la gestione e l'automazione dei workload"", ""Costi di sicurezza di carattere generale"": ""Spese associate alla conformit\u00e0 e alla sicurezza durante l'erogazione dei servizi""}","","I corrispettivi per la fornitura eseguita dalla Società verranno fatturati alle scadenze e nei termini qui indicati nel bando ovvero a partire dall'Avvio in esercizio, con cadenza trimestrale, sulla base dei servizi effettivamente resi.","","","","","477000.0","1","0","0","1"
"contract_7010161248_1","701016124801","offer_7010161248_0000201166_tt_tecnosistemi_spa_20200122_v1_v1","1","T.T. TECNOSISTEMI SPA","113481624145892","networking","Telecom Italia S.p.A.","Servizio di Manutenzione e Reperibilità dal 2020 al 2027 c/o il Cliente Finale ""Vimercate Gestione Salute VSG scarl""","networking","{""CNA"": ""Contratto di Assistenza"", ""NAC"": ""Network Access Control"", ""HPe"": ""Hewlett Packard Enterprise"", ""Network BUNDLE"": ""Pacchetto di soluzioni di rete""}","switch + modules|firewall + licenses","Z004 120gg. Fine mese data fattura. Fatture emesse in regime di scissione dei pagamenti (Split Payment), ad eccezione del fatturato per prestazioni di servizi rese da professionisti soggette a ritenuta a titolo di acconto di cui all'art. 25 del D.P.R. 600/73. Pagamento al fornitore al netto dell'IVA che verrà versata da TIM direttamente all'Erario come previsto dal D.L. 50 del 24/4/17. I fornitori dovranno inserire in fattura la dicitura ""scissione dei pagamenti"". Corrispettivi della fornitura fissi ed invariabili per tutta la durata del Buono d'Ordine. Pagamento delle fatture avverrà, a mezzo bonifico bancario, considerando la data di emissione fattura convenzionalmente fissata all'ultimo giorno del mese.","PENALI PER RISPETTO SLA: Il fornitore si obbliga ad eseguire il Servizio oggetto del BO nel rispetto degli SLA indicati nel Capitolato d'Appalto (laddove presente), CHE DICHIARA DI AVER PRESO VISIONE E ACCETTA. In caso di mancato rispetto degli SLA, Telecom si riserva la facoltà di applicare le penali previste nel medesimo Capitolato Speciale di Appalto. Telecom si riserva il diritto addebitare al fornitore le penali che dovessero essere applicate a Telecom da parte del Cliente finale per atto o fatto o omissione imputabile o, comunque, riconducibile al fornitore S. L'applicazione delle penali non preclude il diritto di Telecom al risarcimento del danno ulteriore. PENALI PER RITARDATA CONSEGNA PRODOTTI O CONSEGNA IN OPERA: Laddove il fornitore non adempia agli obblighi di consegna / installazione, totale o parziale della fornitura di QUANTO PREVISTO NEL BO, Telecom escluse le cause di forza maggiore debitamente comunicate e documentate e fatta salva la facoltà di richiedere il risarcimento del maggior danno, potrà applicare alla stessa penali dell' 1 (uno) % (per cento) del valore DEL PRESENTE BO per ogni giorno di ritardo per un massimo di 10 (dieci) giorni naturali e consecutivi. Superata detta soglia Telecom avrà la facoltà di risolvere il presente contratto ai sensi dell'art.1456 c.c., fatto salvo il risarcimento dei danni. La penale sarà applicabile, per un massimo del 20% dell'importo della fornitura, o per le eventuali maggiori penali previste nel contratto tra la TELECOM e il Cliente finale. In caso di applicazione delle penali, TELECOM emetterà fattura (fuori del campo I.V.A. ex DPR 633 del 26/10/72 e succ. mod.). L'importo della suddetta fattura sarà pagato, previo accordo tra le parti, o trattenendolo dal primo pagamento utile effettuato da TELECOM al fornitore anche se il fatturato risulti ceduto, se il pagamento rientra nel termine di 60 gg. dalla data di emissione fattura, oppure sarà pagato dal fornitore a 60 giorni dalla data di emissione della fattura stessa. Additionally, a penalty of ""500.00 for each verified violation of the ""Accesso ai Siti Telecom Italia"" procedure is applicable. In case of delay in delivery of goods, a penalty of 1% of the value of the goods per day of delay, up to a maximum of 10 days, after which Telecom can resolve the contract.","CLAUSOLA DI RISERVATEZZA: Qualsiasi notizia, documento, informazione concernente direttamente o indirettamente il servizio svolto o l'organizzazione e le attività di Telecom di cui il fornitore o i propri dipendenti/subappaltatori siano venuti in possesso in relazione all'attività prestata, dovranno essere trattati in modo assolutamente riservato e, nel rispetto dell'art. 621 e segg. del c.p., non potranno essere in alcun modo resi disponibili a terzi neanche parzialmente. In caso di violazione degli obblighi di cui al presente articolo, Telecom potrà rivalersi sul fornitore per il risarcimento dei danni riservandosi la facoltà di risolvere di diritto il contratto (art. 1456 c.c.). Detto obbligo permarrà anche successivamente alla data di cessazione del presente contratto. Telecom potrà effettuare ""senza preavviso"" visite di controllo presso il fornitore, mirate alla verifica dell'osservanza anche della clausola in discorso. CLAUSOLA DI RECESSO: Telecom Italia si riserva la facoltà di recedere, in qualsiasi momento , dal presento Buono D'Ordine, qualora si verifichi il recesso o la risoluzione anticipata del contratto tra Telecom ed il Cliente di Telecom stessa. A fronte di tale anticipata scadenza nulla potrà essere richiesto a titolo di risarcimento, onere, spesa od indennizzo alcuno. Additionally, the contract outlines conditions for termination related to supplier's business changes, legal issues, or insolvency, and the possibility of termination due to the client's contract with the end-customer ending or Telecom internalizing the services. The contract also specifies resolution clauses if obligations from Sez. 1, point 2 and 3; Sez. 2, point 2 and 4; Sez. 3, point 4, 8, 9, 10, 12, 13, 14 are not met. For any disputes, the exclusive competent court is Foro di Roma.","2020-01-01T00:00:00Z","2027-12-31T00:00:00Z","352599.12","2","0","0","2"
"contract_7010161248_2","701016124802","offer_analisiofferta_tt-tecnosistemi_clientevgs_v2","2","","180126070764885","networking","","Fornitura in opera apparati HPE e relativa manut. c/o ""VSG scarl""","networking","{""HPE"": ""Hewlett Packard Enterprise, produttore di hardware e soluzioni IT"", ""Network BUNDLE HPe versione 'modular'"": ""Pacchetto di hardware di rete HPE con configurazione modulare"", ""Network BUNDLE HPe versione 'fixed'"": ""Pacchetto di hardware di rete HPE con configurazione fissa"", ""Supporto di copertura"": ""Servizio di supporto tecnico e manutenzione per un periodo specifico"", ""Servizi Professionali"": ""Servizi aggiuntivi come installazione, configurazione e smaltimento"", ""Manutenzione e Reperibilit\u00e0"": ""Servizio di manutenzione e disponibilit\u00e0 per interventi tecnici""}","switch + modules|firewall + licenses","","","","","","2127800.0","4","1","0","3"
"contract_7010161784_1","701016178401","offer_7010161784_0000283750_maticmind_spa_20200204_v1_v1","1","MATICMIND SPA","250387406080783","IT","Telecom Italia S.p.A.","Ordine di fornitura per servizi di co-sourcing e assessment multi-annuali","IT","{""co-sourcing"": ""Collaborazione tra il fornitore e il cliente per la gestione condivisa di servizi IT"", ""HLD"": ""High-Level Design, progettazione di alto livello per infrastrutture IT"", ""LLD"": ""Low-Level Design, progettazione di dettaglio per infrastrutture IT"", ""assessment periodico"": ""Valutazione regolare dello stato e delle performance di un sistema o rete""}","","Z004 120gg. Fine mese data fattura. Fatturazione annuale anticipata. Le fatture saranno emesse in regime di scissione dei pagamenti (Split Payment) e pagate al fornitore al netto dell'IVA. Il pagamento delle fatture avverrà, a mezzo bonifico bancario, considerando la data di emissione fattura convenzionalmente fissata all'ultimo giorno del mese.","PENALI PER RISPETTO SLA: In caso di mancato rispetto degli SLA, Telecom si riserva la facoltà di applicare le penali previste nel Capitolato Speciale di Appalto e di addebitare le penali applicate a Telecom dal Cliente finale. PENALI PER RITARDATA CONSEGNA PRODOTTI O CONSEGNA IN OPERA: 1% del valore del Buono d'Ordine per ogni giorno di ritardo, per un massimo di 10 giorni naturali e consecutivi. Superata tale soglia, Telecom avrà la facoltà di risolvere il contratto. La penale massima applicabile è del 20% dell'importo della fornitura, o maggiori penali previste nel contratto con il Cliente finale. Altre penali: "" 500,00 per ogni violazione accertata delle disposizioni della procedura di ""Accesso ai Siti Telecom Italia"".","RESPONSABILITÀ PER DANNI E MANLEVA: Il fornitore si assume ogni obbligazione e responsabilità inerente all'organizzazione e allo svolgimento delle attività/forniture e all'erogazione dei servizi oggetto del presente Buono D'Ordine, impegnandosi a manlevare e tenere indenne Telecom da ogni pregiudizio, danno, perdita, responsabilità, costo, onere o spesa. CLAUSOLA DI RISERVATEZZA: Qualsiasi notizia, documento, informazione concernente direttamente o indirettamente il servizio svolto o l'organizzazione e le attività di Telecom di cui il fornitore sia venuto in possesso, dovrà essere trattato in modo assolutamente riservato e non potrà essere reso disponibile a terzi. La violazione comporta la facoltà di Telecom di risolvere il contratto. CLAUSOLA DI RECESSO: Telecom Italia si riserva la facoltà di recedere, in qualsiasi momento, dal presente Buono D'Ordine, qualora si verifichi il recesso o la risoluzione anticipata del contratto tra Telecom ed il Cliente di Telecom stessa, senza che nulla possa essere richiesto a titolo di risarcimento, onere, spesa od indennizzo. Telecom Italia si riserva inoltre la facoltà di recedere per cessione/affitto d'azienda del fornitore, mutamento dell'assetto societario di controllo, rinvio a giudizio o condanna di un rappresentante del fornitore, assoggettamento a liquidazione o procedure concorsuali, o internalizzazione delle attività.","2020-07-01T00:00:00Z","2025-06-30T00:00:00Z","157444.35","2","0","0","2"
